gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000183569.17,13,11,10,24,18,23
ENSG00000183579.15,0,0,0,0,2,0
ENSG00000183597.15,0,0,0,0,1,0
ENSG00000183628.12,24,29,35,12,4,15
ENSG00000183741.11,0,0,0,1,4,0
ENSG00000183762.12,0,0,0,0,2,0
ENSG00000183765.20,2,2,1,10,5,1
ENSG00000183773.15,1,0,3,1,2,0
ENSG00000183785.14,0,1,0,2,2,1
ENSG00000183822.3,0,0,1,2,6,3
ENSG00000183864.4,1,2,2,2,2,2
ENSG00000183963.18,12,13,12,3,3,3
ENSG00000184058.12,0,0,0,2,2,1
ENSG00000184068.2,22,31,25,43,24,30
ENSG00000184076.12,1,1,0,0,1,0
ENSG00000184113.9,0,0,0,2,0,0
ENSG00000184117.11,0,0,0,1,1,0
ENSG00000184164.14,2,0,2,7,5,5
ENSG00000184208.10,0,0,0,0,0,0
ENSG00000184319.15,5,1,6,6,10,10
ENSG00000184381.18,0,0,0,2,2,1
ENSG00000184436.11,2,2,2,2,2,1
ENSG00000184459.8,0,0,0,0,1,0
ENSG00000184470.19,6,4,4,4,4,2
ENSG00000184571.13,0,0,0,0,1,0
ENSG00000184624.4,0,0,0,0,0,0
ENSG00000184702.17,0,0,0,1,1,0
ENSG00000184708.17,23,21,22,25,25,15
ENSG00000184792.15,1,5,4,10,7,3
ENSG00000184949.15,0,1,0,0,4,0
ENSG00000184979.9,0,0,0,0,1,0
ENSG00000184983.9,5,5,7,0,1,1
ENSG00000185022.11,1,2,1,2,4,0
ENSG00000185065.6,3,1,1,8,2,6
ENSG00000185133.13,0,0,0,2,2,0
ENSG00000185252.17,1,0,0,0,2,0
ENSG00000185264.11,0,0,0,0,0,0
ENSG00000185339.8,0,0,1,0,2,0
ENSG00000185340.15,0,0,1,0,1,0
ENSG00000185386.14,1,3,0,0,0,0
ENSG00000185608.8,1,2,2,4,4,8
ENSG00000185651.14,1,1,2,4,4,4
ENSG00000185666.14,1,0,0,0,2,0
ENSG00000185686.17,0,0,0,1,3,0
ENSG00000185721.11,1,1,0,3,1,0
ENSG00000185837.3,0,1,0,0,0,0
ENSG00000185838.13,0,0,1,0,0,1
ENSG00000186575.17,1,0,0,0,0,0
ENSG00000186654.20,0,0,0,0,3,0
ENSG00000186716.19,0,0,1,2,1,2
ENSG00000186732.13,0,0,0,0,1,0
ENSG00000186951.16,6,4,4,2,5,0
ENSG00000186976.14,3,0,0,0,2,0
ENSG00000186998.15,0,0,1,0,1,0
ENSG00000187012.10,0,0,0,0,2,0
ENSG00000187045.16,1,3,0,1,2,0
ENSG00000187051.8,2,0,1,0,1,0
ENSG00000187792.4,0,0,0,0,1,0
ENSG00000187860.10,9,18,14,23,9,26
ENSG00000187905.10,0,0,0,0,1,0
ENSG00000187979.4,0,0,0,0,0,0
